order_id,order_timestamp,customer_id,product_id,product_name,category,qty,unit_price,discount_pct,region
ORD2025032700000,2025-03-27T01:26:33,C03013,P010,Gel Pen Set,Stationery,1,5.16,0.0,South
ORD2025032700001,2025-03-27T15:50:08,C42147,P011,Bluetooth Speaker,Electronics,2,56.78,0.05,North
ORD2025032700002,2025-03-27T08:13:17,C17034,P012,Running Shoes,Apparel,1,68.92,0.05,East
ORD2025032700003,2025-03-27T10:53:38,C39876,P011,Bluetooth Speaker,Electronics,4,75.62,0.1,East
ORD2025032700004,2025-03-27T14:03:13,C27389,P005,Cotton T-Shirt,Apparel,5,27.25,0.05,South
ORD2025032700005,2025-03-27T13:43:50,C20658,P011,Bluetooth Speaker,Electronics,1,79.91,0.0,North
ORD2025032700006,2025-03-27T12:15:07,C10868,P008,Olive Oil 500ml,Grocery,1,13.55,0.1,North
ORD2025032700007,2025-03-27T05:51:23,C05841,P009,Notebook A5,Stationery,1,6.53,0.0,North
ORD2025032700008,2025-03-27T23:19:14,C11403,P011,Bluetooth Speaker,Electronics,2,60.72,0.05,West
ORD2025032700009,2025-03-27T15:52:32,C44116,P011,Bluetooth Speaker,Electronics,1,46.39,0.0,East
ORD2025032700010,2025-03-27T13:11:52,C11660,P005,Cotton T-Shirt,Apparel,3,27.95,0.1,East
ORD2025032700011,2025-03-27T05:31:05,C32326,P008,Olive Oil 500ml,Grocery,3,13.49,0.0,East
ORD2025032700012,2025-03-27T05:07:56,C26594,P001,Wireless Mouse,Electronics,1,34.08,0.1,North
ORD2025032700013,2025-03-27T20:52:28,C20061,P005,Cotton T-Shirt,Apparel,1,23.83,0.0,East
ORD2025032700014,2025-03-27T02:56:48,C20014,P012,Running Shoes,Apparel,1,102.27,0.05,South
ORD2025032700015,2025-03-27T00:18:24,C49709,P001,Wireless Mouse,Electronics,1,35.64,0.0,North
ORD2025032700016,2025-03-27T15:14:06,C17615,P012,Running Shoes,Apparel,1,97.09,0.05,South
ORD2025032700017,2025-03-27T18:16:16,C01754,P010,Gel Pen Set,Stationery,2,4.77,0.0,South
ORD2025032700018,2025-03-27T16:18:47,C47387,P001,Wireless Mouse,Electronics,1,31.01,0.15,North
ORD2025032700019,2025-03-27T04:57:04,C09892,P003,Yoga Mat,Fitness,2,19.26,0.0,West
ORD2025032700020,2025-03-27T17:05:00,C43325,P004,Resistance Bands,Fitness,1,18.36,0.0,South
ORD2025032700021,2025-03-27T19:41:12,C04056,P004,Resistance Bands,Fitness,4,15.47,0.1,West
ORD2025032700022,2025-03-27T20:35:24,C39168,P006,Denim Jeans,Apparel,5,48.13,0.0,North
ORD2025032700023,2025-03-27T09:38:01,C12814,P009,Notebook A5,Stationery,1,6.07,0.0,West
ORD2025032700024,2025-03-27T08:12:10,C27868,P005,Cotton T-Shirt,Apparel,1,22.23,0.0,South
ORD2025032700025,2025-03-27T22:38:39,C17755,P011,Bluetooth Speaker,Electronics,1,77.88,0.1,East
ORD2025032700026,2025-03-27T10:58:09,C27863,P001,Wireless Mouse,Electronics,4,34.4,0.15,West
ORD2025032700027,2025-03-27T21:39:44,C37776,P006,Denim Jeans,Apparel,3,51.77,0.0,East
ORD2025032700028,2025-03-27T16:00:50,C02635,P005,Cotton T-Shirt,Apparel,1,26.29,0.0,South
ORD2025032700029,2025-03-27T00:26:19,C16921,P009,Notebook A5,Stationery,1,6.78,0.05,East
ORD2025032700030,2025-03-27T18:13:25,C01987,P005,Cotton T-Shirt,Apparel,1,18.99,0.0,North
ORD2025032700031,2025-03-27T20:16:36,C08909,P012,Running Shoes,Apparel,1,89.83,0.0,West
ORD2025032700032,2025-03-27T21:20:31,C00239,P003,Yoga Mat,Fitness,1,18.14,0.0,North
ORD2025032700033,2025-03-27T18:46:38,C49503,P011,Bluetooth Speaker,Electronics,1,68.4,0.0,West
ORD2025032700034,2025-03-27T16:00:58,C07775,P009,Notebook A5,Stationery,1,7.37,0.0,South
ORD2025032700035,2025-03-27T19:19:09,C06904,P011,Bluetooth Speaker,Electronics,1,84.34,0.0,North
ORD2025032700036,2025-03-27T16:55:49,C41100,P006,Denim Jeans,Apparel,1,45.23,0.0,South
ORD2025032700037,2025-03-27T22:10:56,C13688,P007,Coffee Beans 250g,Grocery,3,13.38,0.0,West
ORD2025032700038,2025-03-27T17:18:33,C38942,P005,Cotton T-Shirt,Apparel,1,17.0,0.05,West
ORD2025032700039,2025-03-27T21:27:48,C35507,P010,Gel Pen Set,Stationery,1,3.79,0.05,North
ORD2025032700040,2025-03-27T19:51:10,C22779,P010,Gel Pen Set,Stationery,2,6.82,0.05,North
ORD2025032700041,2025-03-27T05:29:02,C20303,P009,Notebook A5,Stationery,2,5.26,0.15,North
ORD2025032700042,2025-03-27T19:41:37,C41938,P003,Yoga Mat,Fitness,1,29.77,0.1,East
ORD2025032700043,2025-03-27T21:59:05,C22083,P009,Notebook A5,Stationery,1,4.58,0.0,South
ORD2025032700044,2025-03-27T04:47:10,C06067,P010,Gel Pen Set,Stationery,2,5.49,0.05,West
ORD2025032700045,2025-03-27T05:31:54,C33547,P004,Resistance Bands,Fitness,1,13.92,0.0,South
ORD2025032700046,2025-03-27T13:29:18,C05451,P011,Bluetooth Speaker,Electronics,1,70.56,0.05,East
ORD2025032700047,2025-03-27T08:11:39,C19575,P006,Denim Jeans,Apparel,1,56.58,0.0,West
ORD2025032700048,2025-03-27T15:39:51,C01824,P003,Yoga Mat,Fitness,1,18.29,0.0,West
ORD2025032700049,2025-03-27T07:27:15,C43691,P010,Gel Pen Set,Stationery,1,5.65,0.0,North
ORD2025032700050,2025-03-27T23:19:11,C24106,P005,Cotton T-Shirt,Apparel,1,19.75,0.05,South
ORD2025032700051,2025-03-27T08:42:05,C04548,P006,Denim Jeans,Apparel,2,38.66,0.0,West
ORD2025032700052,2025-03-27T09:15:09,C28500,P007,Coffee Beans 250g,Grocery,1,15.09,0.05,East
ORD2025032700053,2025-03-27T19:04:46,C29052,P006,Denim Jeans,Apparel,5,41.29,0.0,South
ORD2025032700054,2025-03-27T17:59:36,C17423,P001,Wireless Mouse,Electronics,3,35.63,0.0,East
ORD2025032700055,2025-03-27T18:36:16,C02295,P004,Resistance Bands,Fitness,4,17.39,0.0,South
ORD2025032700056,2025-03-27T23:04:07,C15601,P008,Olive Oil 500ml,Grocery,1,14.13,0.0,West
ORD2025032700057,2025-03-27T18:55:18,C44741,P002,USB-C Cable,Electronics,2,17.93,0.0,South
ORD2025032700058,2025-03-27T16:30:12,C25023,P012,Running Shoes,Apparel,2,84.78,0.0,North
ORD2025032700059,2025-03-27T20:21:17,C39587,P010,Gel Pen Set,Stationery,2,5.4,0.05,West
ORD2025032700060,2025-03-27T21:24:56,C30042,P005,Cotton T-Shirt,Apparel,1,20.9,0.0,East
ORD2025032700061,2025-03-27T20:59:53,C43468,P002,USB-C Cable,Electronics,1,17.2,0.05,South
ORD2025032700062,2025-03-27T04:16:24,C05209,P011,Bluetooth Speaker,Electronics,1,60.22,0.0,South
ORD2025032700063,2025-03-27T18:00:29,C19858,P007,Coffee Beans 250g,Grocery,3,15.02,0.0,East
ORD2025032700064,2025-03-27T02:39:52,C17581,P002,USB-C Cable,Electronics,3,14.53,0.0,South
ORD2025032700065,2025-03-27T03:15:35,C40333,P002,USB-C Cable,Electronics,1,10.71,0.15,South
ORD2025032700066,2025-03-27T02:07:17,C38552,P005,Cotton T-Shirt,Apparel,1,26.31,0.05,South
ORD2025032700067,2025-03-27T07:51:30,C30464,P012,Running Shoes,Apparel,1,108.76,0.15,North
ORD2025032700068,2025-03-27T23:18:07,C16096,P011,Bluetooth Speaker,Electronics,2,64.28,0.05,West
ORD2025032700069,2025-03-27T10:39:09,C15747,P001,Wireless Mouse,Electronics,2,36.0,0.1,East
ORD2025032700070,2025-03-27T16:53:16,C21743,P001,Wireless Mouse,Electronics,1,25.28,0.05,South
ORD2025032700071,2025-03-27T08:10:07,C07511,P001,Wireless Mouse,Electronics,1,37.97,0.0,West
ORD2025032700072,2025-03-27T19:15:08,C11925,P008,Olive Oil 500ml,Grocery,1,10.01,0.0,West
ORD2025032700073,2025-03-27T03:38:49,C30555,P001,Wireless Mouse,Electronics,1,25.41,0.0,West
ORD2025032700074,2025-03-27T03:46:28,C20777,P001,Wireless Mouse,Electronics,4,30.65,0.0,East
ORD2025032700075,2025-03-27T23:37:16,C48532,P008,Olive Oil 500ml,Grocery,2,11.08,0.1,South
